Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2200u","C_Radial_D10.0mm_H12.5mm_P5.00mm",80.304000,-142.240000,0.000000,top
"C2","2200u","C_Radial_D10.0mm_H12.5mm_P5.00mm",122.682000,-81.574000,-90.000000,top
"C3","2200u","C_Radial_D10.0mm_H12.5mm_P5.00mm",122.174000,-131.866000,-90.000000,top
"C4","2200u","C_Radial_D10.0mm_H12.5mm_P5.00mm",122.428000,-103.926000,-90.000000,top
"C5","2200u","C_Radial_D10.0mm_H12.5mm_P5.00mm",98.298000,-142.748000,180.000000,top
"C6","22p","C_Disc_D6.0mm_W2.5mm_P5.00mm",77.724000,-103.418000,-90.000000,top
"C7","22p","C_Disc_D6.0mm_W2.5mm_P5.00mm",77.724000,-99.314000,90.000000,top
"D1","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",145.542000,-86.270000,0.000000,top
"D2","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",145.542000,-80.682000,0.000000,top
"D3","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",145.542000,-141.134000,0.000000,top
"D4","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",146.050000,-112.178000,0.000000,top
"D5","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",145.542000,-135.038000,0.000000,top
"D6","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",146.050000,-107.098000,0.000000,top
"D7","LED","LED_D3.0mm",165.862000,-96.171000,-90.000000,top
"D8","LED","LED_D3.0mm",166.116000,-150.273000,-90.000000,top
"D9","LED","LED_D3.0mm",165.608000,-122.841000,-90.000000,top
"D10","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",52.472000,-107.098000,-90.000000,top
"D11","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",52.324000,-127.418000,-90.000000,top
"D12","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",53.742000,-146.468000,-90.000000,top
"J1","Screw_Terminal_01x03","TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal",165.862000,-90.842000,90.000000,top
"J2","Screw_Terminal_01x03","TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal",166.116000,-145.706000,90.000000,top
"J3","Screw_Terminal_01x03","TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal",165.862000,-117.512000,90.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal",34.244000,-76.867000,-90.000000,top
"J5","Screw_Terminal_01x04","TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal",103.124000,-161.246000,0.000000,top
"K1","FINDER-32.21-x300","Relay_SPDT_Finder_36.11",45.790000,-111.670000,180.000000,top
"K2","FINDER-32.21-x300","Relay_SPDT_Finder_36.11",45.642000,-132.244000,180.000000,top
"K3","FINDER-32.21-x300","Relay_SPDT_Finder_36.11",46.552000,-151.802000,180.000000,top
"Q1","BC547","TO-92_Inline",60.198000,-117.258000,90.000000,top
"Q2","BC547","TO-92_Inline",60.304000,-137.070000,90.000000,top
"Q3","BC547","TO-92_Inline",61.214000,-156.628000,90.000000,top
"R1","100k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",142.494000,-86.614000,180.000000,top
"R2","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",134.874000,-81.026000,0.000000,top
"R3","100k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",142.240000,-134.620000,180.000000,top
"R4","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",134.366000,-141.642000,0.000000,top
"R5","100k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",142.748000,-112.522000,180.000000,top
"R6","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",135.128000,-106.680000,0.000000,top
"R7","1k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",130.556000,-80.174000,-90.000000,top
"R8","1k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",130.556000,-134.276000,-90.000000,top
"R9","1k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",130.810000,-106.082000,-90.000000,top
"R10","330","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",149.098000,-94.488000,0.000000,top
"R11","330","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",148.590000,-147.738000,0.000000,top
"R12","300","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",149.098000,-119.544000,0.000000,top
"R13","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",67.818000,-109.728000,180.000000,top
"R14","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",67.310000,-127.254000,180.000000,top
"R15","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",68.580000,-146.812000,180.000000,top
"RV1","10k","Potentiometer_Alps_RK163_Single_Horizontal",33.782000,-46.900000,0.000000,top
"U1","LM7805_TO220","TO-220-3_Vertical",86.106000,-132.334000,0.000000,top
"U2","LM7805_TO220","TO-220-3_Vertical",111.577000,-83.566000,-90.000000,top
"U3","LM7805_TO220","TO-220-3_Vertical",111.323000,-136.144000,-90.000000,top
"U4","LM7805_TO220","TO-220-3_Vertical",111.323000,-108.458000,-90.000000,top
"U5","ATmega328P-P","DIP-28_W7.62mm",88.148000,-79.422000,0.000000,top
"U6","LCD-016N002L","LCD-016N002L",87.394000,-67.871500,180.000000,top
"Y1","Crystal","Crystal_HC18-U_Vertical",70.104000,-98.642000,-90.000000,top
